Автовокзал 60.714826, 28.748823

Аллея звезд 60.711352, 28.737562 +

Аллея статуй 60.708147, 28.738271

Анненские 60.718955, 28.722688

Апраксин 60.718955, 28.722688

Батарейная гора 60.705084, 28.755370

Башня ратуши 60.710390, 28.734710 +

Библиотека 60.709027, 28.747384 +

Вокзал 60.715450, 28.751052

Выборгский замок 60.715568, 28.729238 +

Гостиница Выборг 60.711735, 28.746117

Гостиница Дружба 60.715462, 28.745575

Дом Дагермана 60.712538, 28.730018 +

Доминиканский 60.710670, 28.733273

Дом купечества 60.711880, 28.731762

Дом Лаллуки 60.712583, 28.751961

Дом на скале 60.713993, 28.733930

Дом Хакмана 60.714654, 28.732348

Драккары 60.715244, 28.745229 +

Здание архива 60.715186, 28.724050

Здание банка 60.713598, 28.739511

Костел святого 60.713838, 28.733121

Круглая башня 60.712969, 28.737378

Ленин 60.710730, 28.750156 +

Ломбард 60.712388, 28.730261

Лось 60.709627, 28.747111 +

Максим Горький 60.705397, 28.748741

Микаэль 60.711858, 28.738644

Музей 60.710163, 28.741022

Панцерлакс 60.708592, 28.738129

Петр Первый 60.716996, 28.722408

Площадь Полков 60.707419, 28.745074

Площадь Ратуши 60.714215, 28.730117

Порт 60.712027, 28.729622

Ресторан Эспиля 60.711182, 28.742985

Руины Собора 60.713109, 28.730681

Рынок 60.713937, 28.737485

Сад Скульптур 60.711412, 28.753396

Собор Павла  Петра 60.712087, 28.738353

Спасо собор 60.710090, 28.739378

Страховая 60.710786, 28.754443

Т. Кнутссон 60.714250, 28.730258 +

Трамвай 60.711669, 28.736895 +

Усадьба Бюргера 60.713663, 28.734165

Часовая Башня 60.712899, 28.731864

Эрмитаж 60.708605, 28.737303 +

Юный лесник 60.711014, 28.744004
